"Geo Code","Geo Name","Line Number"
"2021A00053560085","Wunnumin 1",1483886
"2021A00053560086","Summer Beaver",1486517
"2021A00053560088","Wapekeka 2",1489148
"2021A00053560089","The Dalles 38C",1491779
"2021A00053560090","Kenora, Unorganized",1494410
"2021A00053560091","Peawanuck",1497041
"2021A00053560093","Neskantaga",1499672
"2021A00053560095","Bearskin Lake",1502303
"2021A00053560096","Kasabonika Lake",1504934
"2021A00053560097","Muskrat Dam Lake",1507565
"2021A00053560098","Kingfisher Lake 1",1510196
"2021A00053560100","Wawakapewin",1512827
"2021A00053560104","Kee-Way-Win",1515458
